id	user	user_id	date	date_kind	lon	lat	accuracy_m	method	title
197217554	Chuhai07	14397974	2026:08:11 11:32:24	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (10).jpg
197217556	Chuhai07	14397974	2026:08:11 11:32:29	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (11).jpg
197217560	Chuhai07	14397974	2026:08:11 11:32:29	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (12).jpg
197217562	Chuhai07	14397974	2026:08:11 11:32:29	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (13).jpg
197217564	Chuhai07	14397974	2026:08:11 11:32:37	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (14).jpg
197217565	Chuhai07	14397974	2026:08:11 11:32:37	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (15).jpg
197217567	Chuhai07	14397974	2026:08:11 11:33:18	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (16).jpg
197217569	Chuhai07	14397974	2026:08:11 11:33:19	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (17).jpg
197217571	Chuhai07	14397974	2026:08:11 11:33:20	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (18).jpg
197217577	Chuhai07	14397974	2026:08:11 11:34:36	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (19).jpg
197217579	Chuhai07	14397974	2026:08:11 11:34:37	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (20).jpg
197217580	Chuhai07	14397974	2026:08:11 11:34:38	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (21).jpg
197217581	Chuhai07	14397974	2026:08:11 11:37:42	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (22).jpg
197217584	Chuhai07	14397974	2026:08:11 11:37:43	taken	105.835953	21.028790	150	title	File:Văn Miếu – Quốc Tử Giám (23).jpg
113103882	Tttrung	8567	2021-12-06	taken	105.790865	21.028101	150	title	File:Công viên Cầu Giấy.jpg
10907734	Nguyễn Thanh Quang	4539	2009:06:06 13:46:32	taken	105.824783	21.011871	150	title	File:Trung Liệt miếu.JPG
26551070	Bùi Thụy Đào Nguyên	2438478	2013:05:28 11:21:08	taken	105.819642	21.055728	150	title	File:Phủ Tây Hồ.jpg
6968775	Nguyễn Thanh Quang	4539	2009:06:06 17:00:07	taken	105.819534	21.028221	150	title	File:Hồ Giảng Võ.JPG
98521935	Dungnhincainay	9960182	2021-01-04	taken	105.844137	21.004480	150	title	File:Thư viện Tạ Quang Bửu .jpg
17284720	Benoît Prieur	1321769	2003	taken	105.857778	21.024167	150	object-location	File:Hanoi Opera House - 2003.jpg
40535788	Cccefalon	1544168	2011-05-10T11:24:11	taken	105.840260	21.035217	150	object-location	File:Hanoi Vietnam Citadel-of-Hanoi-01.jpg
7636391	Fong210	807590	2009-08-08	taken	105.856143	21.023744	150	object-location	File:1 copy resize.jpg
135952127	Nguyenmy2302	9748661	2023-08-12	taken	105.851913	21.020846	150	object-location	File:Biệt thự 49 Trần Hưng Đạo, Hà Nội.jpg
2907128	Rungbachduong	208886	2001-11-02	taken	105.839417	21.031667	150	object-location	File:Lenin Park Hanoi.JPG
