id	user	date	date_kind	lon	lat	accuracy	url	title	user_id	found_via	date_raw
40536131	Cccefalon	2011-05-11T08:32:22	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=40536131	File:Hanoi Vietnam Street-vendors-in-Hanoi-02.jpg	1544168	text-search	2011:05:11 08:32:22
40535830	Cccefalon	2011-05-11T08:34:41	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=40535830	File:Hanoi Vietnam Street-vendors-in-Hanoi-01.jpg	1544168	text-search	2011:05:11 08:34:41
40536676	Cccefalon	2011-05-11T08:38:44	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=40536676	File:Hanoi Vietnam Shops-in-Hanoi-02.jpg	1544168	category-tree	2011:05:11 08:38:44
40536276	Cccefalon	2011-05-11T08:41:27	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=40536276	File:Hanoi Vietnam Street-vendors-in-Hanoi-04.jpg	1544168	text-search	2011:05:11 08:41:27
37247805	Cccefalon	2011-05-11T08:48:15	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=37247805	File:Hanoi Vietnam Coal-Briquettes Distributor-01.jpg	1544168	text-search	2011:05:11 08:48:15
40536422	Cccefalon	2011-05-11T08:53:50	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=40536422	File:Hanoi Vietnam Transport-in-Hanoi-01.jpg	1544168	category-tree	2011:05:11 08:53:50
40536448	Cccefalon	2011-05-11T08:55:48	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=40536448	File:Hanoi Vietnam Transport-in-Hanoi-02.jpg	1544168	category-tree	2011:05:11 08:55:48
40536585	Cccefalon	2011-05-11T08:57:59	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=40536585	File:Hanoi Vietnam Transport-in-Hanoi-03.jpg	1544168	category-tree	2011:05:11 08:57:59
40536628	Cccefalon	2011-05-11T09:19:43	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=40536628	File:Hanoi Vietnam Shops-in-Hanoi-01.jpg	1544168	category-tree	2011:05:11 09:19:43
49382729	Cccefalon	2011-05-11T09:40:49	taken	105.851268	21.031569		https://commons.wikimedia.org/?curid=49382729	File:Hanoi Vietnam Houses-in-Hoàn-Kiếm-District-01.jpg	1544168	category-tree	2011:05:11 09:40:49
7636391	Fong210	2009-08-08	taken	105.856143	21.023744		https://commons.wikimedia.org/?curid=7636391	File:1 copy resize.jpg	807590	category-tree	2009-08-08
89175100	Hakutora	2018-03-09T09:23:55	taken	105.783089	21.037240		https://commons.wikimedia.org/?curid=89175100	File:Tuong gs Dang Thai Mai.jpg	4943107	category-tree	2018:03:09 09:23:55
135952127	Nguyenmy2302	2023-08-12	taken	105.851913	21.020846		https://commons.wikimedia.org/?curid=135952127	File:Biệt thự 49 Trần Hưng Đạo, Hà Nội.jpg	9748661	category-tree	2023-08-12
2907128	Rungbachduong	2001-11-02	taken	105.839417	21.031667		https://commons.wikimedia.org/?curid=2907128	File:Lenin Park Hanoi.JPG	208886	category-tree	2001-11-02
