id	source	raw_lat	raw_lon	verdict
49466728	exif	30.234444444444446	120.14555555555556	ok
69750266	exif	30.256283333333332	120.15907222222222	ok
192876805	exif	30.260355555555556	120.14672777777778	ok
52231941	exif	30.25381388888889	120.13195416666666	ok
63334110	exif	30.245847222222224	120.13803052777779	ok
49466734	exif	30.233951555555556	120.1450118888889	ok
38003527	exif	30.256244444444444	120.15894444444444	ok
49466727	exif	30.23407363888889	120.14508055555557	ok
49466733	exif	30.233850472222223	120.14503477777778	ok
146943846	exif	31.806364059444444	119.9706878661111	ok
148275530	exif	30.25556111111111	120.15690555555557	ok
30609454	exif	25.212286111111112	-80.85156388888889	ok
142863451	exif	30.246733333333335	120.14748333333333	ok
93382579	object-location	47.749407	18.560089	ok
63334151	exif	30.255230555555556	120.14613333333334	ok
134444075	exif	10.750333333333334	106.65216666666667	ok
63334106	exif	30.25821388888889	120.14967222222222	ok
93642997	exif	30.23650775	120.13674502777778	ok
52333635	exif	30.23448888888889	120.1380388888889	ok
59349539	exif		105.9004304874675	rejected
59349541	exif		105.9004304874675	rejected
62736926	exif		105.89971376583334	rejected
61226447	exif		105.89938201011111	rejected
62654191	exif		105.89965368252778	rejected
62736925	exif		105.89971376583334	rejected
62736924	exif		105.89971376583334	rejected
62736937	exif		105.89966598897223	rejected
14638059	object-location	21.00833333	105.90555556	ok
57961765	exif	10.788368888888888	106.94808888888889	ok
66761258	exif		105.89976481161112	rejected
66761278	exif		105.89985273777778	rejected
66761276	exif		105.89985273777778	rejected
66761307	exif		105.90045495503057	rejected
66761305	exif		105.90045495503057	rejected
66761263	exif		105.89976481161112	rejected
66761277	exif		105.89949131011112	rejected
66761270	exif		105.89949131011112	rejected
66761275	exif		105.89949131011112	rejected
66761319	exif		105.90020265110529	rejected
66761262	exif		105.89947680941667	rejected
66761301	exif		105.90042769693473	rejected
66761255	exif		105.89976481161112	rejected
66761265	exif		105.89949131011112	rejected
66761269	exif		105.89949131011112	rejected
66761302	exif		105.90044495223695	rejected
66761295	exif		105.90046056869944	rejected
66761256	exif		105.89976481161112	rejected
66761317	exif		105.90020265110529	rejected
66761268	exif		105.89949131011112	rejected
66761313	exif		105.90048200043167	rejected
66761133	exif		105.9003946216364	rejected
66761135	exif		105.9003946216364	rejected
66761126	exif		105.89985273777778	rejected
66761130	exif		105.90046056869944	rejected
62738416	exif	21.021012514830556		rejected
56262993	exif	10.602666666666666	105.001	ok
56262524	exif	10.474166666666667	105.0405	ok
56262491	exif	10.465499999999999	105.0175	ok
56262488	exif	10.466	105.01783333333333	ok
56262976	exif	10.528166666666666	105.028	ok
28842137	exif	53.90782166666666	8.610538333333333	ok
57640660	exif	10.339197222222223	107.07161666666666	ok
6931019	object-location	11.6	165.5	rejected
125294804	exif	51.499295	3.4837966666666667	ok
150061968	exif	40.000905	23.579111666666666	ok
34841661	exif	35.152675	24.472036666666668	ok
84344084	exif	-38.60151333333334	142.85873333333333	ok
84344099	exif	-38.66416666666667	143.10389166666667	ok
89640439	exif	6.093106111666667	80.98836861166667	ok
79805168	object-location	-43.54719722	172.74978333	ok
73632228	exif	39.626095	19.925159999999998	ok
41142666	exif	54.62083333333333	13.379166666666666	ok
29775601	exif	54.38318	13.699845	ok
91711973	exif	44.50315972166667	33.507691388333335	ok
67355516	exif	53.13558797222222	7.029310694444445	ok
67355517	exif	53.13558797222222	7.029310694444445	ok
101931614	exif	34.748962402222226	113.68200683583333	ok
31535070	exif	36.89543166666667	111.86972333333334	ok
3584240	object-location	52.24611111	20.99583333	ok
44047469	exif	39.14118333333333	117.183175	ok
29585887	object-location	48.518998	9.051679	ok
76245934	exif	29.305855555555556	-94.79034444444444	ok
158835426	object-location	53.48458859	-2.24409005	ok
99642803	exif	35.35702666666667	35.92402666666667	ok
108765115	exif	52.37037658333333	4.889842027777777	ok
108765131	exif	52.37029263888889	4.889761916666666	ok
108765121	exif	52.37037658333333	4.889842027777777	ok
108765118	exif	52.37029263888889	4.889761916666666	ok
9153016	object-location	53.1935	-1.092	ok
76089515	exif	50.25388888888889	19.02638888888889	ok
154736306	object-location	52.4101724	-0.26239576	ok
159064658	object-location	51.45404851	-2.58929311	ok
13394574	object-location	53.19041	-1.0973	ok
13394577	object-location	53.19261	-1.1032	ok
13394575	object-location	53.19362	-1.0931	ok
13394576	object-location	53.19146	-1.093	ok
178065662	exif	43.517654	16.251256	ok
13531521	object-location	55.73485	-3.9905	ok
178065663	exif	43.5174547	16.251075499722223	ok
123908005	object-location	53.19084975	-1.10151308	ok
117484967	object-location	53.1902722	-1.0968853	ok
141668522	object-location	53.19055238	-1.09822602	ok
117891449	object-location	53.19330831	-1.09397697	ok
119531074	exif	40.23788611111111	-74.76945555555555	ok
85846951	exif	40.654694972222224	-74.004007	ok
18568126	exif	40.75102615356445	-73.98698425292969	ok
85846698	exif	40.655107	-74.003815	ok
176815367	exif	39.95944444444445	-75.19370277777779	ok
176815369	exif	39.960594444444446	-75.19395277777778	ok
127279483	exif	43.5170412	16.251366099722222	ok
133219139	exif	43.551338333333334	7.01072	ok
133614196	exif	-2.9017027222222223	-79.00458611111111	ok
17504910	exif	53.109838	23.128506	ok
17504909	exif	53.10983698333333	23.128505	ok
17504908	exif	53.10983698333333	23.128506	ok
110677604	exif	10.814722222222223	106.67166666666667	ok
