user	date	lon	lat	geoprivacy
The Squirrel Conspiracy	2015-08-01T23:25:57	-96.756716	32.779372	open
The Squirrel Conspiracy	2015-08-01T23:41:50	-96.756716	32.779372	open
The Squirrel Conspiracy	2016-06-18T10:15:22	-96.950234	32.883861	open
The Squirrel Conspiracy	2016-06-18T10:21:04	-96.950234	32.883861	open
The Squirrel Conspiracy	2017-07-29T21:43:31	-79.636815	43.703406	open
The Squirrel Conspiracy	2017-07-30T20:57:58	-79.636815	43.703406	open
The Squirrel Conspiracy	2018-05-21T06:37:37	-157.815151	21.302201	open
The Squirrel Conspiracy	2018-05-21T06:38:34	-157.815117	21.302175	open
The Squirrel Conspiracy	2018-06-04T09:37:16	-157.815468	21.301700	open
The Squirrel Conspiracy	2019-06-05T15:46:12	-77.103394	39.002092	open
The Squirrel Conspiracy	2020-03-05	-115.170169	36.110139	open
The Squirrel Conspiracy	2020-03-05	-81.478011	28.426344	open
Benoît Prieur	2003-11-30 00:00	13.764908	43.190897	open
Benoît Prieur	2010-10-26	4.97683333	45.82733333	open
Benoît Prieur	2010-08	-16.99633333	14.54866667	open
Benoît Prieur	2010-08	-17.26983333	14.71366667	open
Benoît Prieur	2011-03-10T19:01:56Z	4.9775	45.82683333	open
Benoît Prieur	2010-10-31	4.3505	50.84566667	open
Benoît Prieur	2010-10-30	4.35716667	50.85483333	open
Benoît Prieur	2010-11-23	2.35366667	48.82866667	open
Benoît Prieur	2010-12-11	4.9675	45.82766667	open
Benoît Prieur	2010-12-22	2.421	48.552	open
Benoît Prieur	2010-12-16	4.862	45.7605	open
Benoît Prieur	2010-12-24	4.977	45.8275	open
Benoît Prieur	2011-04-09	4.89266667	45.80366667	open
Benoît Prieur	2010-12-25	3.50083333	47.61433333	open
Benoît Prieur	2011-05-14	4.97683333	45.8275	open
Benoît Prieur	2011-01-15	5.05733333	45.8525	open
Benoît Prieur	2011-01-15	5.058	45.85283333	open
Benoît Prieur	2011-01-15	5.05766667	45.84766667	open
Benoît Prieur	2011-01-15	5.05816667	45.85283333	open
Benoît Prieur	2011-01	-0.3645	49.18333333	open
Benoît Prieur	2011-01	-0.34766667	49.17616667	open
Benoît Prieur	2011-02-12	4.85416667	45.777	open
Benoît Prieur	2011-02-12	4.8555	45.77666667	open
Benoît Prieur	2011-02-13	4.8575	45.7765	open
Benoît Prieur	2011-02-13	4.8575	45.7765	open
Benoît Prieur	2004	-56.152812	-34.894482	open
Benoît Prieur	2011-02-19	5.00133333	45.84	open
Benoît Prieur	2011-02-19	5.00133333	45.84016667	open
Benoît Prieur	2011-02-19	5.001	45.83983333	open
Benoît Prieur	2011-02-19	5.00116667	45.83983333	open
Benoît Prieur	2011-02-20	4.95266667	45.82283333	open
